id,product_id,ingredients,nutritional_info,usage_instructions,warnings,allergens,usage_tips,medical_disclaimer,legal_regulation,created_at,updated_at,product_slug
15,3642,"Extracto seco de Berberis (Berberis aristata – raíz) 97% en berberina, extracto seco de alcachofa (Cynara scolymus – hoja) 10% en cinarina, levadura de arroz rojo (Monascus purpureus) 5% en monacolina K, agente de carga (celulosa microcristalina), policosanoles de caña de azúcar (Saccharum officinarum L), antiaglomerantes (Sales magnésicas de ácidos grasos y dióxido de silicio), coenzima Q10 (ubiquinona), vitamina B1 (Hidrocloruro de tiamina).","Ingredientes activos por 1 cápsula: extracto seco de trébol rojo (Trifolium pratense, parte aérea) 200 mg, isoflavonas 40 mg, extracto seco de ashwagandha (Withania somnifera, raíz) 80 mg, witanólidos 4 mg, extracto seco de cimicífuga (Cimicifuga racemosa, rizoma) 70 mg, glucósidos triterpénicos 1,75 mg, GABA (ácido gamma-aminobutírico) 50 mg, melatonina 1,9 mg, vitamina B6 en forma de hidroclorato de piridoxina 2,8 mg (200% VRN), vitamina B12 en forma de cianocobalamina 5 μg (200% VRN) y vitamina D3 en forma de colecalciferol 15 μg (300% VRN). VRN: Valor de Referencia de Nutrientes según el Reglamento (UE) 1169/2011.",Tomar una cápsula al día un poco antes de irse a dormir.,"Los complementos alimenticios no deben utilizarse como sustitutos de una dieta variada, equilibrada y un modo de vida saludable. No superar la dosis diaria recomendada. Mantener fuera del alcance de los niños más pequeños. Conservar en un lugar fresco, seco y protegido de la luz.",No contiene alérgenos de acuerdo con el Reglamento (UE) no 1169/2011.,Tomar de forma constante siguiendo las indicaciones del envase y dentro de una dieta equilibrada.,"La información proporcionada en este producto solo tiene fines informativos. No supone asesoramiento profesional, médico o legal.","Su comercialización es legal en toda Europa. Se certifica que el producto es No GMO, ya que no contiene ingredientes procedentes de organismos modificados genéticamente y no está sometido al etiquetado de OMG del Reglamento (UE) 1829/2003. También es no ionizado, ya que no se usa radiación ionizante en ningún punto del proceso de fabricación conforme a la Directiva 1999/2/CE. Está libre de cualquier riesgo de BSE/TSE según el Reglamento (CE) 999/2001 y está fabricado en la Unión Europea.",2026-07-07 15:54:10.896445+00,2026-07-07 18:55:08.106514+00,coraz-n-f-rmula-60-c-psulas
16,3645,"Cloruro de nicotinamida ribósido, Extracto seco de raíz de Polygonum cuspidatum (98% resveratrol), Extracto seco de brotes de flor de Sophora japonica (95% quercetina), antiaglomerantes (sales magnésicas del ácido esteárico y dióxido de silicio), vitamina B5 (Pantotenato cálcico), Agente de carga (celulosa microcristalina), Extracto de pimienta negra (Piper Nigrum L., fruto, 95% piperina), y vitamina B2 (Riboflavina).
Cápsula vegetal: agente de recubrimiento (hidroxipropilmetilcelulosa).","Ingredientes activos por 1 cápsula: cloruro de nicotinamida ribósido 300 mg, trans-resveratrol 100 mg, quercetina 50 mg, extracto seco de pimienta negra 4,21 mg, piperina 4 mg, ácido pantoténico 6 mg (100% VRN) y vitamina B2 2,8 mg (200% VRN).","Tomar 1 cápsula al día, preferiblemente por la mañana junto con el desayuno.","No superar la dosis diaria recomendada. Mantener fuera del alcance de los niños. Consultar con un médico antes de usar si está embarazada, lactando o bajo medicación.",No contiene alérgenos citados en el REGLAMENTO (UE) No 1169/2011.,Tomar 1 cápsula al día,"Este producto no está destinado a diagnosticar, tratar, curar ni prevenir ninguna enfermedad.","Complemento alimenticio. Su comercialización es legal en toda Europa. Se certifica que el producto NAD+ Resveratrol es No GMO, ya que no contiene ingredientes procedentes de organismos modificados genéticamente y no está sometido al etiquetado de OMG de los Reglamentos (UE) 1829/2003 y 1830/2003. También es no ionizado, ya que no se usa radiación ionizante en ningún punto del proceso de fabricación, conforme a las Directivas 1999/2/CE y 1999/3/CE. Está libre de cualquier riesgo de BSE/TSE según el Reglamento (CE) 999/2001 y está fabricado en la Unión Europea.",2026-07-07 15:55:20.635527+00,2026-07-07 18:48:28.227826+00,nad-300-mg-60-c-psulas
62,3641,Rosa moschata. Aceite vegetal virgen de primera presión en frío .,"Rosa Moschata Seed Oil, Tocopherol*. *El tocoferol es vitamina E y es de procedencia natural.","Puede utilizarse en aplicación facial y corporal. Rostro: aplicar unas gotas sobre la piel limpia, mañana y noche. Cuerpo: aplicar especialmente en zonas sensibles, como cuello, escote, pecho y parte interior de brazos y piernas, preferiblemente después de la ducha, con la piel húmeda. Utilizar, también, como loción después de tomar el sol.",,,,,,2026-07-07 19:01:14.04945+00,2026-07-09 09:27:18.229752+00,rosa-mosqueta-15-ml
63,3640,"Hidrolato de manzanilla romana.  
99,4% origen natural.  
Piel sensible. 
Agua floral de manzanilla romana procedente de la destilación al vapor de agua de las sumidades floridas de la planta fresca.","El agua floral o hidrolato es un producto totalmente natural que se obtiene a través de la destilación al vapor de agua de plantas aromáticas. Gracias a este método, contiene las moléculas y fitoactivos de dichas plantas, que le aportan su aroma y sus propiedades únicas para la piel.  
ATENCIÓN A LAS FALSIFICACIONES: se venden mal llamadas aguas florales que no son un producto auténtico. Son solamente agua destilada con aromas, muchas veces artificiales. Si utilizamos estos productos que no son naturales, no vamos a poder beneficiarnos de las propiedades que nos aporta un agua floral auténtica.","Vaporizar rostro, cuello y escote después de limpiar la piel, por la mañana y por la noche.",,,,,,2026-07-07 19:04:14.903105+00,2026-07-09 09:27:24.25003+00,hidrolato-de-manzanilla-romana-120-ml
69,3669,Azúcar de coco 100%,"Endulzante integral y mucho más nutritivo que el azúcar blanco.
-Ingredientes: Azúcar de coco*
(*) Procedentes de agricultura ecológica",,,,,,,2026-07-08 17:29:50.5019+00,2026-07-28 17:48:58.625532+00,az-car-de-coco-250-g
76,3107,"Composición: Agente de carga Erythritol (97%) y Glucósidos de Steviol.
El extracto de stevia empleado contiene un TGS (Total Glicósidos Steviol) del 97%.
Reb A 97 (3%).

Por 100g
Valor energético: 0 kJ/ 0 kcal
Grasas: 0 g
De las cuales saturadas: 0 g
Hidratos de carbono: 97 g
De los cuales azúcares: 0 g
Fibra alimentaria: 0 g
Proteína: 0 g
Sal: 0 g","Las stevias de Myconatur han sido todas formuladas con el objetivo primordial de ofrecer a nuestros clientes la máxima calidad y pureza. En nuestra formulación se han utilizado glucósidos de Steviol de la mayor pureza y máxima concentración (TGS 97%).

El Granulado de Stevia de Myconatur es un edulcorante de mesa cuyo estuche contiene 80 sobres de 1 g cada uno.

Es un edulcorante de cocina apto para diabéticos, ya que tiene un índice glucémico de 0.

Libre de alérgenos y sin gluten.
Apto para veganos y vegetarianos.
Producto libre de GMO.
Conservar en un lugar fresco, seco, alejado de la luz solar y de olores agresivos.","Añade un sobre a la infusión, café o bebida que se desee endulzar. El uso de un segundo sobre va en función del gusto de cada cual.

Un sobre de stevia granulado equivale a 1 cucharilla de azúcar (4-5 gramos).",,,,,,2026-07-08 18:06:34.868337+00,2026-07-16 18:40:50.19575+00,stevia-granulado-80-uds
77,978,,"Valor energético: 1867 kJ / 446 kcal. Fibra alimentaria: 9,3 g. Proteínas: 36,5 g. Sal: 0,005 g. Grasas: 19,90 g, de las cuales saturadas: 2,9 g. Hidratos de carbono: 30,2 g, de los cuales azúcares: 7,3 g.",,,Soja y derivados,Uso: Dejar en remojo durante unas horas. Cambiar el agua y cocer con un trozo de alga kombu durante 2 horas.,,Referencias específicas: EAN13: 1842390300047. U/c: 6.,2026-07-08 18:13:15.236792+00,2026-07-08 19:13:44.079976+00,soja-amarilla-ecol-gica-en-grano-500-g
79,2617,Xilitol (Azúcar de Abedul) 100%.,"Valor energético 1000kJ/240kcal
Hidratos de carbono 100 g
Azúcares: 0 g
Grasas 0 g
Saturadas: 0 g
Proteinas 0 g
Sal 0 g",,,,,,,2026-07-08 18:28:28.231967+00,2026-08-06 12:15:01.341189+00,xilitol-az-car-de-abedul-500-g
80,3427,"Quinoa real, cereal integral natural, ideal para una alimentación saludable y versátil en la cocina.","Minerales (mg): Calcio 24, Hierro 4, Zinc 3,1
Vitaminas (mg): C 3,5",2 partes de agua x 1 de quinoa Tiempo: 15min. a fuego medio.,,"Puede contener trazas de gluten, frutos de cáscara, cacahuete, soja, sésamo y leche y sus derivados.",,,,2026-07-09 08:56:32.691768+00,2026-07-09 09:23:33.574492+00,quinoa-real
82,3675,"-Ingredientes: Lentejas pardina*. 
*De agricultura biológica.","Análisis nutricional por 100g de producto

Valor energético: 1255 kJ/299 kcal
Grasas: 0,1 g
Acidos grasos saturados: 0 g
Hidratos de carbono: 49,68 g
Azúcares: 5,63 g
Fibra alimentaria: 12 g
Proteínas: 23,65 g
Sal: 0,02 g",-Uso: Las lentejas pardina no necesitan remojo previo. Poner a hervir con agua fría. El hervor durante la cocción debe ser suave y continuado. Tiempo de cocción 35-40 minutos.,,Alérgenos: Trazas : Altramuces y prod. a base de altramuces Trazas : Cacahuetes Trazas : Frutos secos con cáscara Trazas : Gluten Trazas : Sésamo y prod. a base de sésamo Trazas : Soja y derivados,-Conservación: Conservar en lugar fresco y seco.,,,2026-07-09 09:02:59.863768+00,2026-08-05 11:13:46.444416+00,lentejas-pardina-extra-500-g
84,246,Este producto no lleva ningún ingrediente modificado genéticamente.,,Lavar antes para que quede suelto. 2 partes de agua x 1 de arroz. Tiempo: 15 minutos (caldoso) 20 minutos (suelto).,,,,,,2026-07-09 09:13:13.105066+00,2026-07-09 09:13:13.105066+00,arroz-blanco-redondo-500-g
85,241,Este producto no lleva ningún ingrediente modificado genéticamente.,,Tostar sin aceite. 1 parte de agua x 2 de trigo. A fuego alto llevar a ebullición. 10 min. a fuego medio y 5-7 min. a fuego bajo. Dejar reposar 5 min.,,,,,,2026-07-09 09:19:02.702436+00,2026-07-09 09:19:08.278724+00,trigo-sarraceno-500-g
92,279,Este producto no lleva ningún ingrediente modificado genéticamente,,Remojo 4h. 3 partes de agua x 1 de lentejas llevar a ebullición y cocer durante 30 min. aprox. Añadir la sal al final de la cocción.,,,,,,2026-07-09 09:43:44.304221+00,2026-07-09 09:43:44.304221+00,lentejas-verdes-500-g
93,3674,"Quinua*.
*De agricultura biológica.","Análisis nutricional por 100g de producto Valor energético:1671 kJ/343 kcal Fibra alimentaria:8,80 g Proteínas:15 g Sal:0,01 g Grasas:7,80 g Hidratos de carbono:64 g",Limpiar con agua fría. Cocer tapado y sin remover 20 minutos a fuego lento. 2 partes de agua por 1 de quinua. Retirar y reposar 5 minutos.,,"trazas: Altramuces y prod. a base de altramuces, Cacahuetes, Frutos con cáscara, Gluten, Sésamo y prod. a base de sésamo, Soja y derivados",Conservar en lugar fresco y seco.,,,2026-07-09 09:49:00.215349+00,2026-08-05 11:19:05.953001+00,quinoa-real-500-g
94,1686,"Harina de trigo sarraceno*, azúcar de caña entera* (<2%), sal marina.
*Cultivado orgánicamente","Valores nutricionales medios por cada 100g Energía 1 631 kJ / 385 kcal Grasas 2,8 g de las cuales ácidos grasos saturados 0,6 g Hidratos de carbono 74,8 g de los cuales azúcares 2,6 g Fibra dietética 4,4 g Proteínas 13,0 g Sal 0,68 g",,,,,,,2026-07-09 10:04:34.602922+00,2026-07-10 08:52:58.233181+00,pan-crujiente-de-trigo-sarraceno-300-g
96,194,"Harina de trigo sarraceno*.
*Cultivado orgánicamente","Valores nutricionales medios por cada 100g Energía 1 642 kJ / 388 kcal Grasas 2,7 g de las cuales ácidos grasos saturados 0,6 g Hidratos de carbono 75,2 g de los cuales azúcares 1,7 g Fibra dietética 4,5 g Proteínas 13,4 g Sal 0,01 g",,,,,,,2026-07-09 10:13:13.209026+00,2026-07-09 17:08:30.885231+00,pan-crujiente-sarraceno-sin-az-cares-a-adidos-300-g
99,2248,"Harina de trigo sarraceno*.
*Cultivado orgánicamente","Valores nutricionales medios por cada 100g Energía 1 642 kJ / 388 kcal Grasas 2,7 g de las cuales ácidos grasos saturados 0,6 g Hidratos de carbono 75,2 g de los cuales azúcares 1,7 g Fibra dietética 4,5 g Proteínas 13,4 g Sal 0,01 g",,,,,,,2026-07-09 17:34:48.379368+00,2026-07-09 17:34:48.379368+00,pan-crujiente-sarraceno-sin-az-cares-a-adidos-150-g
100,329,"Harina de trigo sarraceno*, azúcar de caña entera* (<2%), sal marina.

*Cultivado orgánicamente","Valores nutricionales medios por cada 100g Energía 1 631 kJ / 385 kcal Grasas 2,8 g de las cuales ácidos grasos saturados 0,6 g Hidratos de carbono 74,8 g de los cuales azúcares 2,6 g Fibra dietética 4,4 g Proteínas 13,0 g Sal 0,68 g",,,,,,,2026-07-10 08:52:06.200545+00,2026-07-10 08:53:04.148436+00,pan-crujiente-de-trigo-sarraceno-150-g
104,248,,,,,"Puede contener trazas de gluten, frutos de cáscara, cacahuete, soja, sésamo y leche y sus derivados.",,,,2026-07-10 08:56:18.704631+00,2026-07-10 08:56:18.704631+00,arroz-rojo-500-g
105,3211,"Harina de arroz*, harina de castaña* (30%),
sal marina.
*procedentes de la agricultura ecológica.","Valores nutricionales medios por 100 g Valor energético 1616 kJ / 381 kcal Grasas 1,8 g de las cuales saturadas 0,5 g Hidratos de carbono 83 g de los cuales azúcares 6,5 g Fibra alimentaria 4,3 g Proteínas 6,7 g Sal 0,39 g",,,,,,,2026-07-10 09:02:45.622588+00,2026-07-10 09:02:45.622588+00,tostadas-crujientes-de-casta-a-300-g
106,1814,"Harina de arroz*, harina de castaña* (30%),

sal marina.

*procedentes de la agricultura ecológica.","Valores nutricionales medios por 100 g:
Energía 1 537 kJ / 363 kcal Grasas 2,0 g de las cuales ácidos grasos saturados 0,4 g Hidratos de carbono 76,1 g de los cuales azúcares 5,4 g Fibra alimentaria 5,4 g Proteínas 7,4 g Sal 0,69 g",,,,,,,2026-07-10 09:09:08.755459+00,2026-07-10 09:09:23.299613+00,tostadas-crujientes-de-casta-a-150-g
108,2608,Ingredientes: Pimienta Negra Molida.,,,,,,,,2026-07-10 09:17:36.773547+00,2026-07-10 09:17:36.773547+00,pimienta-negra-molida-38-g
109,2711,Ingredientes: Comino Molido.,,,,,,,,2026-07-10 09:20:17.682065+00,2026-07-10 09:20:17.682065+00,comino-molido-en-polvo-30-g
110,3334,"Ingredientes: Canela, Clavo, Pimentón dulce, Canela, Comino, Pimienta negra, Nuez moscada, Jengibre, Pimienta Blanca.",,Añadir a la masa de galletas o productos de repostería al gusto para potenciar el sabor.,Revisar ingredientes y alérgenos en la etiqueta antes de consumir.,No especificado por el fabricante. Revisar siempre la etiqueta antes de consumir.,Ideal para hornear en repostería casera. Ajusta la cantidad según preferencia de sabor.,,"Producto alimentario. Revisar siempre el etiquetado del fabricante, ingredientes, alérgenos, lote, fecha de consumo preferente y condiciones de conservación.",2026-07-10 10:07:16.365555+00,2026-07-10 10:35:06.424993+00,mezcla-de-especias-para-galletas-30-g
