Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,advertencias (product.metafields.custom.advertencias),alergenos (product.metafields.custom.alergenos),aviso_medico (product.metafields.custom.aviso_medico),bio (product.metafields.custom.bio),consejos_uso (product.metafields.custom.consejos_uso),expiration_date (product.metafields.custom.expiration_date),firesoft_codigo (product.metafields.custom.firesoft_codigo),firesoft_referencia (product.metafields.custom.firesoft_referencia),firesoft_sync_enabled (product.metafields.custom.firesoft_sync_enabled),gluten_free (product.metafields.custom.gluten_free),informacion_nutricional (product.metafields.custom.informacion_nutricional),Ingredientes (product.metafields.custom.ingredientes),instrucciones_uso (product.metafields.custom.instrucciones_uso),isgood (product.metafields.custom.isgood),is_discontinued (product.metafields.custom.is_discontinued),lactose_free (product.metafields.custom.lactose_free),recargo_rate (product.metafields.custom.recargo_rate),regulacion_legal (product.metafields.custom.regulacion_legal),supplier_name (product.metafields.custom.supplier_name),vat_rate (product.metafields.custom.vat_rate),vegan (product.metafields.custom.vegan),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
semillas-de-calabaza-250-g,Semillas de Calabaza,"Para ensaladas, postres o lo que te pase por la cabeza. ¿Cómo tomarlas? Son ideales como aperitivo, ensaladas o vinagretas y también como ingrediente del pan o repostería. Este producto no lleva ningún ingrediente modificado genéticamente.",eco BASICS,,Alimentos,"Bio, Vegano, Sin lactosa, 250 g",TRUE,Title,Default Title,,,,,,,,280,250,shopify,2,deny,manual,3.95,,TRUE,TRUE,,,,,8411058000904,https://www.eco-basics.com/wp-content/uploads/2018/08/Post-de-Instagram-Vertical-Carrusel-Maderoterapia-Abstracto-Marr%C3%B3n-3-Photoroom-1.png,1,Semillas de Calabaza - eco BASICS,FALSE,Semillas de Calabaza,"Para ensaladas, postres o lo que te pase por la cabeza. ¿Cómo tomarlas? Son ideales como aperitivo, ensaladas o vinagretas y también como ingrediente del pan o repostería. Este producto no lleva ningún ingrediente modificado genéticamente.",,"Puede contener trazas de gluten, frutos de cáscara, cacahuete, soja, sésamo y leche y sus derivados.",,TRUE,,2026-09-28,280,280,TRUE,FALSE,,,,TRUE,FALSE,TRUE,1.40,,ecoplaza,10.00,TRUE,,g,,1.95,active
semillas-de-ch-a-250-g,Semillas de Chía,,Sin marca,,Alimentos,250 g,TRUE,Title,Default Title,,,,,,,,281,250,shopify,12,deny,manual,2.95,,TRUE,TRUE,,,,,8411058001666,https://uayblnybdrhhmumudbea.supabase.co/storage/v1/object/public/productos/semillas%20de%20chia%20bio%20basics.jpg,1,Semillas de Chía - Sin marca,FALSE,Semillas de Chía,,,,,FALSE,,2026-08-28,281,281,TRUE,FALSE,,,,TRUE,FALSE,FALSE,1.40,,ecoplaza,10.00,FALSE,,g,,1.44,active
s-samo-natural-250-g,Sésamo Natural,,eco BASICS,,Alimentos,"Bio, Vegano, Sin lactosa, 250 g",TRUE,Title,Default Title,,,,,,,,282,250,shopify,18,deny,manual,2.65,,TRUE,TRUE,,,,,8411058000669,https://www.eco-basics.com/wp-content/uploads/2018/08/Post-de-Instagram-Vertical-Carrusel-Maderoterapia-Abstracto-Marr%C3%B3n-4-Photoroom-1.png,1,Sésamo Natural - eco BASICS,FALSE,Sésamo Natural,,,"Contiene sésamo. Puede contener trazas de gluten, frutos de cáscara, cacahuete, soja y leche y sus derivados.",,TRUE,,2027-01-28,282,282,TRUE,FALSE,,,,TRUE,FALSE,TRUE,1.40,,ecoplaza,10.00,TRUE,,g,,1.43,active
s-samo-tostado-250-g,Sésamo Tostado,"Para ensaladas, postres o lo que te pase por la cabeza. El sésamo es originario de Oriente Medio. Excelente complemento nutritivo para los que están sometidos a una gran actividad mental. Este producto no lleva ningún ingrediente modificado genéticamente.",eco BASICS,,Alimentos,"Bio, Vegano, Sin lactosa, 250 g",TRUE,Title,Default Title,,,,,,,,283,250,shopify,25,deny,manual,2.95,,TRUE,TRUE,,,,,8411058001383,https://www.eco-basics.com/wp-content/uploads/2018/08/Post-de-Instagram-Vertical-Carrusel-Maderoterapia-Abstracto-Marr%C3%B3n-2-Photoroom.png,1,Sésamo Tostado - eco BASICS,FALSE,Sésamo Tostado,"Para ensaladas, postres o lo que te pase por la cabeza. El sésamo es originario de Oriente Medio. Excelente complemento nutritivo para los que están sometidos a una gran actividad mental. Este producto no lleva ningún ingrediente modificado genéticamente.",,"Contiene sésamo. Puede contener trazas de gluten, frutos de cáscara, cacahuete, soja y leche y sus derivados.",,TRUE,,2026-12-28,283,283,TRUE,FALSE,,,,TRUE,FALSE,TRUE,1.40,,q,10.00,TRUE,,g,,1.69,active
lentejas-verdes-500-g,Lentejas Verdes,Ideal para guisos y cremas La lenteja verde desprende un olor fresco y con un ligero aroma a frutos secos.,eco BASICS,,Alimentos,"Bio, Vegano, Sin gluten, Sin lactosa, 500 g",TRUE,Title,Default Title,,,,,,,,306,500,shopify,9,deny,manual,2.95,,TRUE,TRUE,,,,,8411058001444,https://www.eco-basics.com/wp-content/uploads/2018/08/Lentejas-Verdes-Photoroom.png,1,Lentejas Verdes - eco BASICS,FALSE,Lentejas Verdes,Ideal para guisos y cremas La lenteja verde desprende un olor fresco y con un ligero aroma a frutos secos.,,,,TRUE,,2026-12-28,306,306,TRUE,TRUE,,Este producto no lleva ningún ingrediente modificado genéticamente,Remojo 4h. 3 partes de agua x 1 de lentejas llevar a ebullición y cocer durante 30 min. aprox. Añadir la sal al final de la cocción.,TRUE,FALSE,TRUE,1.40,,,10.00,TRUE,,g,,1.82,active
quinoa-tricolor-ecol-gica-500-g,Quinoa Tricolor Ecológica,"Quinoa tricolor ecológica rica en proteínas, omega-6 y omega-3, con todos los aminoácidos esenciales y un alto contenido en fibras. Ideal para una alimentación nutritiva y versátil en la cocina.",eco BASICS,,Alimentos,"Bio, 500 g",TRUE,Title,Default Title,,,,,,,,319,500,shopify,7,deny,manual,4.95,,TRUE,TRUE,,,,,8474406970434,https://www.eco-basics.com/wp-content/uploads/2018/08/Quinoa-Tricolor-Photoroom.png,1,Quinoa Tricolor Ecológica - eco BASICS,FALSE,Quinoa Tricolor Ecológica,"Quinoa tricolor ecológica rica en proteínas, omega-6 y omega-3, con todos los aminoácidos esenciales y un alto contenido en fibras. Ideal para una alimentación nutritiva y versátil en la cocina.",,,,TRUE,,2027-01-28,319,319,TRUE,FALSE,,,,TRUE,FALSE,FALSE,1.40,,ecoplaza,10.00,FALSE,,g,,2.89,active
pan-crujiente-de-trigo-sarraceno,Pan crujiente de Trigo Sarraceno,"La galleta original, orgánica y sin gluten de Pain des Fleurs. Obtiene su crujiente característica de su inusual composición de harina 100% trigo sarraceno.",Le Pain des fleurs,,Alimentos,150 g,TRUE,Variante,150 g,,,,,,,,356,150,shopify,17,deny,manual,3.45,,TRUE,TRUE,,,,,3380380036620,https://www.lepaindesfleurs.com/app/uploads/2025/08/lpdf-9299-sarrasin-150g-scan.png,1,Pan crujiente de Trigo Sarraceno - Le Pain des fleurs,FALSE,Pan crujiente de Trigo Sarraceno,"La galleta original, orgánica y sin gluten de Pain des Fleurs. Obtiene su crujiente característica de su inusual composición de harina 100% trigo sarraceno.",,,,FALSE,,2027-01-07,356,356,TRUE,FALSE,"Valores nutricionales medios por cada 100g Energía 1 631 kJ / 385 kcal Grasas 2,8 g de las cuales ácidos grasos saturados 0,6 g Hidratos de carbono 74,8 g de los cuales azúcares 2,6 g Fibra dietética 4,4 g Proteínas 13,0 g Sal 0,68 g",,,TRUE,FALSE,FALSE,1.40,,Biocop,10.00,FALSE,https://www.lepaindesfleurs.com/app/uploads/2025/08/lpdf-9299-sarrasin-150g-scan.png,g,,2.21,active
pan-crujiente-de-trigo-sarraceno,,,,,,,,Variante,300 g,,,,,,,,1758,300,shopify,0,deny,manual,6.98,,TRUE,TRUE,,,,,3380380047749,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lepaindesfleurs.com/app/uploads/2025/08/lpdf-9299-sarrasin-150g-scan.png,g,,4.25,active
stevia-molida-en-polvo-65-g,Stevia molida en polvo,"Stevia en polvo, un edulcorante natural para endulzar tus bebidas y recetas de forma saludable.",Artemis Bio,,Alimentos,"Bio, Vegano, Sin gluten, Sin lactosa, 65 g",TRUE,Title,Default Title,,,,,,,,470,65,shopify,6,deny,manual,4.95,,TRUE,TRUE,,,,,8428201320796,https://www.ecoplaza.es/26841-large_default/estevia-polvo-artemis-65-gr-eco.jpg,1,Stevia molida en polvo - Artemis Bio,FALSE,Stevia molida en polvo,"Stevia en polvo, un edulcorante natural para endulzar tus bebidas y recetas de forma saludable.",,,,TRUE,,2028-05-15,470,470,TRUE,TRUE,,,,TRUE,FALSE,TRUE,1.40,,ecoplaza,10.00,TRUE,,g,,2.92,active
c-rcuma-250-uds,Cúrcuma,,Aldous,,Suplementos,"Vegano, 250 uds",TRUE,Title,Default Title,,,,,,,,495,,shopify,2,deny,manual,39.95,,TRUE,TRUE,,,,,8437020622042,https://aldousbio.com/cdn/shop/files/1_MAIN_CF_-_CUR_ES.webp?v=1777461102&width=1200,1,Cúrcuma - Aldous,FALSE,Cúrcuma,,"No superar la dosis recomendada. Los complementos alimenticios no deben utilizarse como sustitutos de una dieta equilibrada. Se desaconseja el uso del producto en caso de alteraciones de la función hepática, biliar o de cálculos en las vías biliares. Si se están tomando medicamentos, es oportuno consultar con el médico. No utilizar durante el embarazo o la lactancia. Mantener fuera del alcance de los niños. Conservar en un lugar fresco y seco.",,,FALSE,,2028-02-01,495,495,TRUE,FALSE,Ingredientes activos: Cúrcuma ecológica: 1360 mg. Jengibre ecológico: 60 mg. Pimienta negra ecológica: 20 mg. Mix de probióticos: 2 × 10⁸ UFC.,"Polvo de cúrcuma ecológica (Curcuma longa L., rizoma), Cápsula de origen vegetal (Agente de recubrimiento: Hidroxipropilmetilcelulosa), Polvo de Jengibre ecológico (Zingiber Officinalle Roscoe, rizoma), Pimienta Negra ecológica en polvo (Piper nigrum L.), Mix de probióticos (Lactobacillus acidophilus LMG 8151, Bifidobacterium longum LMG 26652, Bifidobacterium bifidum LMG 25628, Bifidobacterium lactis LMG 18314).",,TRUE,FALSE,FALSE,1.40,,Aldous,10.00,TRUE,,,,17.48,active
cardo-mariano-150-uds,Cardo Mariano,,Aldous,,Suplementos,"Vegano, 150 uds",TRUE,Title,Default Title,,,,,,,,497,,shopify,3,deny,manual,39.95,,TRUE,TRUE,,,,,8437020622592,https://aldousbio.com/cdn/shop/files/cardo-mariano-con-alcachofa-curcuma-diente-de-leon-y-desmodium-8273157.webp?v=1751399659&width=1200,1,Cardo Mariano - Aldous,FALSE,Cardo Mariano,,"No superar la dosis diaria recomendada. Los complementos alimenticios no deben utilizarse como sustitutos de una dieta equilibrada. No utilizar durante el embarazo o la lactancia. Mantener fuera del alcance de los niños. En caso de alteraciones de la función hepática o biliar o de cálculos biliares no se recomienda su uso. No usar por períodos prolongados sin consultar a su médico. Si está tomando algún medicamento, debe buscar el consejo de su médico. Conservar en un lugar fresco y seco.",,,FALSE,,,497,497,TRUE,FALSE,**Ingredientes activos:** Cardo mariano: 250 mg. Extracto de alcachofa: 200 mg. Extracto de cúrcuma: 125 mg. Extracto de diente de león: 75 mg. Extracto de desmodio: 25 mg.,"Extracto de Cardo Mariano (Silybum marianum (L.) Gaertn.), Extracto de Alcachofa, Extracto de Curcuma Longa, Cápsula de origen vegetal (Agente de recubrimiento: Hidroxipropilmetilcelulosa, Extracto de raíz de Diente de León raíz, Extracto de Desmodium.",,TRUE,FALSE,FALSE,1.40,,,10.00,TRUE,,,,16.11,active
levadura-de-arroz-rojo-400-uds,Levadura de Arroz Rojo,"La potente combinación de Levadura de Arroz Rojo y Coenzima Q10 Aldous es la fórmula ideal para mantener un corazón sano y controlar los niveles de colesterol. La Levadura de Arroz Rojo ayuda a reducir el colesterol, respaldada por la combinación con Coenzima Q10, que también ayuda a mantener la salud del corazón y los músculos gracias a su poder antioxidante y su papel fundamental en la producción energética.",Aldous,,Suplementos,"Vegano, 400 uds",TRUE,Title,Default Title,,,,,,,,498,,shopify,0,deny,manual,26.95,,TRUE,TRUE,,,,,8437020622806,https://aldousbio.com/cdn/shop/files/levadura-de-arroz-rojo-con-coenzima-q10-6666957.webp?v=1751399647&width=832,1,Levadura de Arroz Rojo - Aldous,FALSE,Levadura de Arroz Rojo,"La potente combinación de Levadura de Arroz Rojo y Coenzima Q10 Aldous es la fórmula ideal para mantener un corazón sano y controlar los niveles de colesterol. La Levadura de Arroz Rojo ayuda a reducir el colesterol, respaldada por la combinación con Coenzima Q10, que también ayuda a mantener la salud del corazón y los","No debe ser consumido por mujeres embarazadas o lactantes, menores de 18 años ni mayores de 70 años. Producto vegano, reciclado y reciclable. No contiene plásticos. Fabricado en España. No GMO.",,"Los complementos alimenticios no deben utilizarse como sustitutos de una dieta variada y equilibrada. No superar la dosis diaria expresamente recomendada. Mantener fuera del alcance de los niños más pequeños.

La información contenida en nuestra web tiene carácter informativo y no puede ser considerada como sustitutiva de la prescripción, diagnóstico o tratamiento médico. Los resultados de los complementos nutricionales pueden variar en función de la persona, y el tiempo para obtener los beneficios indicados dependerá de cada caso.",FALSE,,2028-09-01,498,498,TRUE,FALSE,"52 mg de levadura de arroz rojo (2,99 mg de Monacolinas totales y 2,60 mg de Monacolina K).
10 mg de Coenzima Q10.","Agente de carga (celulosa microcristalina), levadura roja fermentada de arroz (5% monacolina k), fostato bicálcico dihidrato (agente de carga), coenzima Q10.",Tomar 1 comprimido al día con agua.,TRUE,FALSE,FALSE,1.40,,,10.00,TRUE,,,,13.96,active
magnesio-200-uds,Magnesio,,Aldous,,Suplementos,"Vegano, 200 uds",TRUE,Title,Default Title,,,,,,,,504,,shopify,13,deny,manual,29.95,,TRUE,TRUE,,,,,8437020622585,https://aldousbio.com/cdn/shop/files/citrato-de-magnesio-con-vitamina-c-b5-y-b6-8891506.webp?v=1751399662&width=1200,1,Magnesio - Aldous,FALSE,Magnesio,,"No superar la dosis diaria recomendada. Los complementos alimenticios no deben utilizarse como sustitutos de una dieta equilibrada. Si se están tomando medicamentos, es oportuno consultar con el médico. No utilizar durante el embarazo o la lactancia. Mantener fuera del alcance de los niños más pequeños. Conservar en un lugar fresco y seco.",,,FALSE,,,504,504,TRUE,FALSE,"Citrato de magnesio: 1500 mg, del cual magnesio elemental: 450 mg (120% VRN*). Vitamina C: 80 mg (100% VRN*). Vitamina B5: 6 mg (100% VRN*). Vitamina B6: 1,4 mg (100% VRN*).","Citrato de Magnesio, Cápsula de origen vegetal (Agente de recubrimiento: Hidroxipropilmetilcelulosa), Agente de carga: celulosa microcristalina, Vitamina C, Polvo de bambú (Bambusa vulgaris), ácido pantoténico (Vitamina B5) y Vitamina B6.",2 cápsulas por dosis diaria.,TRUE,FALSE,FALSE,1.40,,,10.00,TRUE,,,,16.36,active
